rps, sum, avg, median, p75, p90, p99, max, err
1050, 35650444, 2263, 2004, 2846, 3633.5, 8452.5, 43487, 0
1058, 34290055, 2160, 1954, 2737, 3513.5, 7374, 53126, 0
1066, 33771177, 2112, 1907, 2695, 3409.5, 9010.5, 48455, 0
1074, 34124922, 2118, 1916, 2737, 3465, 8386, 19406, 0
1082, 34784745, 2143, 1953, 2769, 3513, 9564.5, 20827, 0
1090, 34694820, 2122, 1984, 2786, 3533, 8023, 27698, 0
1098, 33754631, 2049, 1866, 2651, 3383, 10815, 30366, 0
1106, 34779274, 2096, 1926, 2726, 3476, 10109.5, 27258, 0
1114, 33561092, 2008, 1843, 2656, 3452, 10027, 21567, 0
1122, 33781408, 2007, 1903, 2696, 3452.5, 9078.5, 28999, 0
1130, 35368830, 2086, 1991.5, 2811, 3534, 8838.5, 24410, 0
1138, 34863157, 2042, 1963, 2776, 3492, 9198.5, 20757, 0
1146, 70353673, 4092, 2773, 5304, 10119.5, 21918.5, 41595, 23880
1154, 69755921, 4029, 2751, 5358, 9941, 21023, 43484, 24760
1162, 70730742, 4057, 2820, 5477.5, 10022.5, 21268, 50379, 24463
1170, 70666770, 4026, 2789, 5432.5, 10070.5, 21784, 44241, 25408
1178, 72143993, 4082, 2884, 5681.5, 10167.5, 21585.5, 45866, 25310
1186, 71056059, 3994, 2817, 5713, 10171.5, 20835.5, 49418, 25645
1194, 69689208, 3891, 2757.5, 5369, 9979.5, 21089.5, 58913, 23908
1202, 71980730, 3992, 2892, 5716, 10207.5, 20974, 46732, 25832
1210, 70705043, 3895, 2799, 5514, 10054.5, 21705.5, 46491, 26170
1218, 71383335, 3907, 2845, 5710.5, 10121, 20961.5, 46025, 25796
1226, 69273084, 3766, 2740, 5171, 9936, 21254.5, 46770, 23666
1234, 70813846, 3825, 2809, 5496.5, 10122, 20892, 38855, 24921
1242, 71113055, 3817, 2851, 5685.5, 10034.5, 21061.5, 52622, 25746
1250, 71521374, 3814, 2866, 5650, 10024, 21358.5, 45936, 25454
1258, 71740629, 3801, 2866, 5600, 10068.5, 21318.5, 46490, 26025
1266, 70141281, 3693, 2762, 5415, 10044.5, 21507.5, 47778, 24253
1274, 72062815, 3770, 2908, 5653.5, 10131.5, 21575, 47073, 25293
1282, 71031560, 3693, 2833, 5509, 10130, 20908.5, 42838, 25293
1290, 71131387, 3676, 2836, 5574, 10029.5, 21549.5, 48325, 26453
1298, 71045417, 3648, 2843, 5523.5, 10087, 21038, 38524, 24673
1306, 71383727, 3643, 2851, 5639, 10162, 21172.5, 43855, 25872
1314, 71454623, 3625, 2885, 5560.5, 10017.5, 21791.5, 43920, 24321
1322, 69249470, 3492, 2698, 5262, 10000.5, 21547.5, 46037, 23563
1330, 71966802, 3607, 2894, 5624, 10133, 20882, 62154, 24484
1338, 91890632, 4578, 3818.5, 7798, 12741, 24999, 67004, 29070
errors: exp:3392, lic:0, dig:0, cash:0
